order_id,customer_id,product_name,category,price_usd,quantity,discount_rate,gross_amount_usd,net_revenue_usd,purchase_dt,region,channel,payment_method,order_date,year,month,day,day_of_week,week_of_year,is_weekend,trimester
6824,2,Musica-44,Musica,53.61,1,0.0,53.61,53.61,2024-09-23 00:32:55,Desconocido,Email,PayPal,2024-09-23 00:32:55,2024,9,23,0,39,0,3
6387,1,Curso-27,Curso,118.73,1,0.05,118.73,112.79,2024-09-23 01:00:03,LATAM,Marketplace,Card,2024-09-23 01:00:03,2024,9,23,0,39,0,3
1623,126,Curso-03,Curso,98.43,1,0.0,98.43,98.43,2024-09-23 03:01:31,EU,SocialAds,Card,2024-09-23 03:01:31,2024,9,23,0,39,0,3
1146,2,Plantilla-06,Plantilla,10.32,1,0.0,10.32,10.32,2024-09-23 03:03:24,EU,Marketplace,Card,2024-09-23 03:03:24,2024,9,23,0,39,0,3
2146,2,Plantilla-46,Plantilla,23.09,2,0.05,46.19,43.88,2024-09-23 03:27:10,LATAM,Website,Card,2024-09-23 03:27:10,2024,9,23,0,39,0,3
5429,208,Curso-29,Curso,115.82,1,0.0,115.82,115.82,2024-09-23 04:33:19,Desconocido,Marketplace,Card,2024-09-23 04:33:19,2024,9,23,0,39,0,3
2674,2,Ebook-34,Ebook,13.32,1,0.05,13.32,12.65,2024-09-23 04:38:40,Desconocido,SocialAds,PayPal,2024-09-23 04:38:40,2024,9,23,0,39,0,3
3620,39,Ebook-20,Ebook,11.77,1,0.0,11.77,11.77,2024-09-23 04:40:33,Desconocido,Email,Card,2024-09-23 04:40:33,2024,9,23,0,39,0,3
7540,1,Ebook-40,Ebook,4.14,3,0.0,12.42,12.42,2024-09-23 05:53:03,EU,Marketplace,Card,2024-09-23 05:53:03,2024,9,23,0,39,0,3
1631,132,Plantilla-11,Plantilla,33.77,1,0.0,33.77,33.77,2024-09-23 07:10:07,Desconocido,Email,Card,2024-09-23 07:10:07,2024,9,23,0,39,0,3
7182,2216,Ebook-42,Ebook,14.46,1,0.0,14.46,14.46,2024-09-23 07:22:12,Desconocido,Website,PayPal,2024-09-23 07:22:12,2024,9,23,0,39,0,3
1198,2,Musica-58,Musica,13.61,1,0.0,13.61,13.61,2024-09-23 08:11:27,OTHER,Marketplace,Card,2024-09-23 08:11:27,2024,9,23,0,39,0,3
2341,4,Plantilla-01,Plantilla,30.07,1,0.0,30.07,30.07,2024-09-23 08:30:49,Desconocido,Marketplace,Card,2024-09-23 08:30:49,2024,9,23,0,39,0,3
5341,5,Plantilla-01,Plantilla,10.89,1,0.05,10.89,10.34,2024-09-23 09:15:37,LATAM,Website,Card,2024-09-23 09:15:37,2024,9,23,0,39,0,3
5941,380,Ebook-01,Ebook,16.91,3,0.0,50.74,50.74,2024-09-23 10:32:38,Desconocido,Website,Stripe,2024-09-23 10:32:38,2024,9,23,0,39,0,3
2354,443,Plantilla-14,Plantilla,23.09,1,0.0,23.09,23.09,2024-09-23 11:17:54,LATAM,SocialAds,PayPal,2024-09-23 11:17:54,2024,9,23,0,39,0,3
5366,1,Musica-26,Musica,60.09,1,0.0,60.09,60.09,2024-09-23 11:24:43,LATAM,Website,Card,2024-09-23 11:24:43,2024,9,23,0,39,0,3
7721,1725,Curso-41,Curso,120.18,1,0.0,120.18,120.18,2024-09-23 12:31:12,EU,Marketplace,Card,2024-09-23 12:31:12,2024,9,23,0,39,0,3
4085,1,Ebook-05,Ebook,4.99,3,0.0,14.96,14.96,2024-09-23 13:22:39,Desconocido,Website,Card,2024-09-23 13:22:39,2024,9,23,0,39,0,3
3904,16,Ebook-04,Ebook,13.12,1,0.0,13.12,13.12,2024-09-23 14:35:29,EU,Website,Stripe,2024-09-23 14:35:29,2024,9,23,0,39,0,3
4033,1,Ebook-13,Ebook,11.15,3,0.0,33.44,33.44,2024-09-23 15:09:47,LATAM,Email,Card,2024-09-23 15:09:47,2024,9,23,0,39,0,3
3830,1,Ebook-50,Ebook,14.82,1,0.0,14.82,14.82,2024-09-23 15:38:49,Desconocido,Marketplace,Card,2024-09-23 15:38:49,2024,9,23,0,39,0,3
3624,2,Plantilla-24,Plantilla,38.84,1,0.05,38.84,36.9,2024-09-23 15:51:16,Desconocido,Email,Card,2024-09-23 15:51:16,2024,9,23,0,39,0,3
3387,2,Ebook-27,Ebook,14.38,1,0.05,14.38,13.66,2024-09-23 17:03:58,Desconocido,Website,PayPal,2024-09-23 17:03:58,2024,9,23,0,39,0,3
2322,4,Plantilla-42,Plantilla,39.3,1,0.0,39.3,39.3,2024-09-23 18:48:18,Desconocido,Marketplace,Card,2024-09-23 18:48:18,2024,9,23,0,39,0,3
4819,31,Plantilla-19,Plantilla,5.0,1,0.0,5.0,5.0,2024-09-23 20:36:38,EU,Marketplace,Card,2024-09-23 20:36:38,2024,9,23,0,39,0,3
7055,1,Curso-35,Curso,106.28,1,0.0,106.28,106.28,2024-09-23 21:48:02,EU,Website,Card,2024-09-23 21:48:02,2024,9,23,0,39,0,3
20,48,Ebook-20,Ebook,15.88,1,0.05,15.88,15.09,2024-09-23 22:15:31,ASIA,SocialAds,Card,2024-09-23 22:15:31,2024,9,23,0,39,0,3
1727,1,Curso-47,Curso,103.67,1,0.0,103.67,103.67,2024-09-23 23:51:42,LATAM,Website,Card,2024-09-23 23:51:42,2024,9,23,0,39,0,3
5725,11,Ebook-25,Ebook,8.52,1,0.0,8.52,8.52,2024-09-24 00:53:54,ASIA,Website,Stripe,2024-09-24 00:53:54,2024,9,24,1,39,0,3
6915,76,Ebook-15,Ebook,5.35,3,0.0,16.06,16.06,2024-09-24 01:10:38,EU,Marketplace,PayPal,2024-09-24 01:10:38,2024,9,24,1,39,0,3
315,1,Plantilla-15,Plantilla,35.41,1,0.0,35.41,35.41,2024-09-24 02:18:01,EU,Website,Card,2024-09-24 02:18:01,2024,9,24,1,39,0,3
7877,4,Curso-17,Curso,92.49,1,0.0,92.49,92.49,2024-09-24 02:19:20,Desconocido,Website,PayPal,2024-09-24 02:19:20,2024,9,24,1,39,0,3
6412,525,Ebook-52,Ebook,18.36,3,0.0,55.07,55.07,2024-09-24 02:42:46,LATAM,Website,Card,2024-09-24 02:42:46,2024,9,24,1,39,0,3
4003,9,Plantilla-43,Plantilla,30.36,1,0.0,30.36,30.36,2024-09-24 02:50:29,Desconocido,Website,PayPal,2024-09-24 02:50:29,2024,9,24,1,39,0,3
5771,1,Curso-11,Curso,106.78,1,0.0,106.78,106.78,2024-09-24 03:01:48,EU,Website,Card,2024-09-24 03:01:48,2024,9,24,1,39,0,3
3638,12,Ebook-38,Ebook,15.91,1,0.05,15.91,15.11,2024-09-24 04:40:40,LATAM,Website,Card,2024-09-24 04:40:40,2024,9,24,1,39,0,3
4881,931,Ebook-21,Ebook,17.45,2,0.0,34.91,34.91,2024-09-24 07:40:48,LATAM,Website,Card,2024-09-24 07:40:48,2024,9,24,1,39,0,3
7418,2,Ebook-38,Ebook,18.1,1,0.0,18.1,18.1,2024-09-24 08:27:26,EU,SocialAds,Stripe,2024-09-24 08:27:26,2024,9,24,1,39,0,3
7436,11,Plantilla-56,Plantilla,33.72,2,0.0,67.44,67.44,2024-09-24 09:10:49,Desconocido,Marketplace,Card,2024-09-24 09:10:49,2024,9,24,1,39,0,3
4892,1,Ebook-32,Ebook,15.83,2,0.0,31.67,31.67,2024-09-24 10:01:51,EU,Marketplace,PayPal,2024-09-24 10:01:51,2024,9,24,1,39,0,3
5381,3,Ebook-41,Ebook,16.86,1,0.0,16.86,16.86,2024-09-24 12:51:47,Desconocido,Website,PayPal,2024-09-24 12:51:47,2024,9,24,1,39,0,3
2796,48,Curso-36,Curso,97.8,1,0.0,97.8,97.8,2024-09-24 13:27:28,Desconocido,Marketplace,Card,2024-09-24 13:27:28,2024,9,24,1,39,0,3
5106,2,Ebook-06,Ebook,17.86,1,0.0,17.86,17.86,2024-09-24 14:26:49,LATAM,Website,Card,2024-09-24 14:26:49,2024,9,24,1,39,0,3
5928,2,Curso-48,Curso,118.28,1,0.0,118.28,118.28,2024-09-24 14:50:05,Desconocido,SocialAds,Stripe,2024-09-24 14:50:05,2024,9,24,1,39,0,3
6631,1,Ebook-31,Ebook,8.08,1,0.0,8.08,8.08,2024-09-24 15:26:25,ASIA,SocialAds,PayPal,2024-09-24 15:26:25,2024,9,24,1,39,0,3
6987,11,Ebook-27,Ebook,10.42,1,0.0,10.42,10.42,2024-09-24 15:58:19,LATAM,Website,Card,2024-09-24 15:58:19,2024,9,24,1,39,0,3
2896,1,Plantilla-16,Plantilla,42.39,1,0.0,42.39,42.39,2024-09-24 18:38:03,Desconocido,Marketplace,Card,2024-09-24 18:38:03,2024,9,24,1,39,0,3
3659,3,Curso-59,Curso,118.69,1,0.0,118.69,118.69,2024-09-24 19:52:33,EU,SocialAds,Stripe,2024-09-24 19:52:33,2024,9,24,1,39,0,3
5359,1,Plantilla-19,Plantilla,18.23,1,0.0,18.23,18.23,2024-09-24 20:13:19,ASIA,Website,PayPal,2024-09-24 20:13:19,2024,9,24,1,39,0,3
7005,237,Ebook-45,Ebook,16.19,1,0.0,16.19,16.19,2024-09-24 21:33:17,Desconocido,Email,Stripe,2024-09-24 21:33:17,2024,9,24,1,39,0,3
2049,26,Curso-09,Curso,60.7,1,0.0,60.7,60.7,2024-09-24 21:38:09,LATAM,Website,Card,2024-09-24 21:38:09,2024,9,24,1,39,0,3
6136,1,Ebook-16,Ebook,8.01,1,0.0,8.01,8.01,2024-09-24 22:52:53,Desconocido,Website,Card,2024-09-24 22:52:53,2024,9,24,1,39,0,3
3956,267,Plantilla-56,Plantilla,12.68,2,0.05,25.36,24.1,2024-09-24 23:12:48,LATAM,SocialAds,Card,2024-09-24 23:12:48,2024,9,24,1,39,0,3
4799,1,Ebook-59,Ebook,12.21,1,0.0,12.21,12.21,2024-09-24 23:40:27,LATAM,Marketplace,Card,2024-09-24 23:40:27,2024,9,24,1,39,0,3
3745,2,Ebook-25,Ebook,12.56,3,0.0,37.68,37.68,2024-09-24 23:57:01,LATAM,SocialAds,Card,2024-09-24 23:57:01,2024,9,24,1,39,0,3
