order_id,customer_id,product_name,category,price_usd,quantity,discount_rate,gross_amount_usd,net_revenue_usd,purchase_dt,region,channel,payment_method
6824,2,Musica-44,Musica,53.61,1,0.0,53.61,53.61,2024-09-23 00:32:55,NA,Email,PayPal
6387,1,Curso-27,Curso,118.73,1,0.05,118.73,112.79,2024-09-23 01:00:03,LATAM,Marketplace,Card
1623,126,Curso-03,Curso,98.43,1,0.0,98.43,98.43,2024-09-23 03:01:31,EU,SocialAds,Card
1146,2,Plantilla-06,Plantilla,10.32,1,0.0,10.32,10.32,2024-09-23 03:03:24,EU,Marketplace,Card
2146,2,Plantilla-46,Plantilla,23.09,2,0.05,46.19,43.88,2024-09-23 03:27:10,LATAM,Website,Card
5429,208,Curso-29,Curso,115.82,1,0.0,115.82,115.82,2024-09-23 04:33:19,NA,Marketplace,Card
2674,2,Ebook-34,Ebook,13.32,1,0.05,13.32,12.65,2024-09-23 04:38:40,NA,SocialAds,PayPal
3620,39,Ebook-20,Ebook,11.77,1,0.0,11.77,11.77,2024-09-23 04:40:33,NA,Email,Card
7540,1,Ebook-40,Ebook,4.14,3,0.0,12.42,12.42,2024-09-23 05:53:03,EU,Marketplace,Card
1631,132,Plantilla-11,Plantilla,33.77,1,0.0,33.77,33.77,2024-09-23 07:10:07,NA,Email,Card
7182,2216,Ebook-42,Ebook,14.46,1,0.0,14.46,14.46,2024-09-23 07:22:12,NA,Website,PayPal
1198,2,Musica-58,Musica,13.61,1,0.0,13.61,13.61,2024-09-23 08:11:27,OTHER,Marketplace,Card
2341,4,Plantilla-01,Plantilla,30.07,1,0.0,30.07,30.07,2024-09-23 08:30:49,NA,Marketplace,Card
5341,5,Plantilla-01,Plantilla,10.89,1,0.05,10.89,10.34,2024-09-23 09:15:37,LATAM,Website,Card
5941,380,Ebook-01,Ebook,16.91,3,0.0,50.74,50.74,2024-09-23 10:32:38,NA,Website,Stripe
2354,443,Plantilla-14,Plantilla,23.09,1,0.0,23.09,23.09,2024-09-23 11:17:54,LATAM,SocialAds,PayPal
5366,1,Musica-26,Musica,60.09,1,0.0,60.09,60.09,2024-09-23 11:24:43,LATAM,Website,Card
7721,1725,Curso-41,Curso,120.18,1,0.0,120.18,120.18,2024-09-23 12:31:12,EU,Marketplace,Card
4085,1,Ebook-05,Ebook,4.99,3,0.0,14.96,14.96,2024-09-23 13:22:39,NA,Website,Card
3904,16,Ebook-04,Ebook,13.12,1,0.0,13.12,13.12,2024-09-23 14:35:29,EU,Website,Stripe
4033,1,Ebook-13,Ebook,11.15,3,0.0,33.44,33.44,2024-09-23 15:09:47,LATAM,Email,Card
3830,1,Ebook-50,Ebook,14.82,1,0.0,14.82,14.82,2024-09-23 15:38:49,NA,Marketplace,Card
3624,2,Plantilla-24,Plantilla,38.84,1,0.05,38.84,36.9,2024-09-23 15:51:16,NA,Email,Card
3387,2,Ebook-27,Ebook,14.38,1,0.05,14.38,13.66,2024-09-23 17:03:58,NA,Website,PayPal
2322,4,Plantilla-42,Plantilla,39.3,1,0.0,39.3,39.3,2024-09-23 18:48:18,NA,Marketplace,Card
4819,31,Plantilla-19,Plantilla,5.0,1,0.0,5.0,5.0,2024-09-23 20:36:38,EU,Marketplace,Card
7055,1,Curso-35,Curso,106.28,1,0.0,106.28,106.28,2024-09-23 21:48:02,EU,Website,Card
20,48,Ebook-20,Ebook,15.88,1,0.05,15.88,15.09,2024-09-23 22:15:31,ASIA,SocialAds,Card
1727,1,Curso-47,Curso,103.67,1,0.0,103.67,103.67,2024-09-23 23:51:42,LATAM,Website,Card
5725,11,Ebook-25,Ebook,8.52,1,0.0,8.52,8.52,2024-09-24 00:53:54,ASIA,Website,Stripe
6915,76,Ebook-15,Ebook,5.35,3,0.0,16.06,16.06,2024-09-24 01:10:38,EU,Marketplace,PayPal
